id,chan_1,chan_2,chan_3,chan_4,created_at
1,1,0,0,0,2022-11-15 16:14:18.829480
2,1,0,0,0,2022-11-15 16:14:18.914676
3,1,0,0,0,2022-11-15 16:14:18.983745
4,1,0,0,0,2022-11-15 16:14:19.059611
5,1,0,0,0,2022-11-15 16:14:19.134008
6,1,0,0,0,2022-11-15 16:14:19.211971
7,1,0,0,0,2022-11-15 16:14:19.286644
8,1,0,0,0,2022-11-15 16:14:19.381597
9,1,0,0,0,2022-11-15 16:14:19.503554
10,1,0,0,0,2022-11-15 16:14:19.577220
11,1,0,0,0,2022-11-15 16:14:19.651886
12,1,0,0,0,2022-11-15 16:14:19.726198
13,1,0,0,0,2022-11-15 16:14:19.805733
14,1,0,0,0,2022-11-15 16:14:19.885177
15,1,0,0,0,2022-11-15 16:14:19.966545
16,1,0,0,0,2022-11-15 16:14:20.044497
17,1,1,1,1,2022-11-15 16:14:20.338032
18,1,1,1,1,2022-11-15 16:14:20.451227
19,1,1,1,1,2022-11-15 16:14:20.602013
20,1,1,1,1,2022-11-15 16:14:20.773471
21,1,1,1,1,2022-11-15 16:14:20.973539
22,1,1,1,1,2022-11-15 16:14:21.129386
23,1,1,1,1,2022-11-15 16:14:21.350899
24,1,1,1,1,2022-11-15 16:14:21.519730
25,1,1,0,0,2022-11-15 16:14:21.662301
26,1,1,0,0,2022-11-15 16:14:21.752271
27,1,1,0,0,2022-11-15 16:14:21.845497
28,1,1,0,0,2022-11-15 16:14:21.917820
29,1,1,0,0,2022-11-15 16:14:21.999336
30,1,1,0,0,2022-11-15 16:14:22.060329
31,1,0,1,0,2022-11-15 16:14:22.144293
32,1,0,1,0,2022-11-15 16:14:22.230548
33,1,0,1,0,2022-11-15 16:14:22.296207
34,1,0,1,0,2022-11-15 16:14:22.362858
35,1,0,1,0,2022-11-15 16:14:22.428105
36,1,0,1,0,2022-11-15 16:14:22.510660
37,1,0,1,0,2022-11-15 16:14:22.577418
38,1,0,1,0,2022-11-15 16:14:22.643105
39,1,0,1,0,2022-11-15 16:14:22.703182
40,1,0,1,0,2022-11-15 16:14:22.785742
41,1,0,1,0,2022-11-15 16:14:22.850702
42,1,0,1,0,2022-11-15 16:14:22.938262
43,1,0,1,0,2022-11-15 16:14:23.005458
44,1,0,1,0,2022-11-15 16:14:23.086154
45,1,1,1,0,2022-11-15 16:14:23.145025
46,1,1,1,0,2022-11-15 16:14:23.209917
47,1,1,1,0,2022-11-15 16:14:23.296535
48,1,1,1,0,2022-11-15 16:14:23.359990
49,1,1,1,0,2022-11-15 16:14:23.430381
50,1,1,1,0,2022-11-15 16:14:23.493762
51,1,1,1,0,2022-11-15 16:14:23.589771
52,1,1,1,0,2022-11-15 16:14:23.761110
53,1,1,1,0,2022-11-15 16:14:23.827209
54,1,1,1,0,2022-11-15 16:14:23.895110
55,1,1,1,0,2022-11-15 16:14:23.979633
56,1,1,1,0,2022-11-15 16:14:24.066333
57,1,1,1,0,2022-11-15 16:14:24.143523
58,1,1,1,0,2022-11-15 16:14:24.231422
59,1,1,1,0,2022-11-15 16:14:24.293820
60,1,1,1,0,2022-11-15 16:14:24.344283
61,1,1,1,0,2022-11-15 16:14:24.410615
62,1,1,1,0,2022-11-15 16:14:24.497751
63,1,1,1,0,2022-11-15 16:14:24.577811
64,1,1,1,0,2022-11-15 16:14:24.657786
65,1,1,1,0,2022-11-15 16:14:24.735075
66,1,1,1,0,2022-11-15 16:14:24.798189
